Date,open_SAR,open_USD,high_SAR,high_USD,low_SAR,low_USD,close_SAR,close_USD,volume
18-06-2020,35498.02355,9465.13,35587.5456,9489,34803.712,9280,35202.45453,9386.32,37381
17-06-2020,35729.94829,9526.97,35872.576,9565,34640.98214,9236.61,35498.06106,9465.14,48046
16-06-2020,35351.45792,9426.05,35962.5856,9589,35152.83674,9373.09,35724.77274,9525.59,52052
15-06-2020,35036.61184,9342.1,35610.048,9495,33417.75168,8910.45,35351.34541,9426.02,86107
14-06-2020,35528.81434,9473.34,35557.5049,9480.99,34672.448,9245,35036.61184,9342.1,30055
13-06-2020,35497.38598,9464.96,35609.03539,9494.73,35069.9904,9351,35528.81434,9473.34,27759
12-06-2020,34799.51155,9278.88,35843.02285,9557.12,34625.6055,9232.51,35498.02355,9465.13,50119
11-06-2020,37073.52909,9885.22,37368.9856,9964,34177.3952,9113,34805.21216,9280.4,94418
10-06-2020,36650.55898,9772.44,37476.69709,9992.72,36394.55667,9704.18,37072.704,9885,47130
09-06-2020,36686.4128,9782,37042.7008,9877,35891.328,9570,36650.52147,9772.43,46024
08-06-2020,36555.1113,9746.99,36753.92,9800,36127.6032,9633,36686.4503,9782.01,40664
07-06-2020,36254.55424,9666.85,36761.4208,9802,35150.47398,9372.46,36555.1113,9746.99,57952
06-06-2020,36083.23597,9621.17,36510.144,9735,35745.24992,9531.05,36252.49152,9666.3,32752
05-06-2020,36709.44026,9788.14,36959.2544,9854.75,35932.5824,9581,36083.19846,9621.16,47788
04-06-2020,36252.56653,9666.32,37060.06515,9881.63,35441.28,9450,36712.89062,9789.06,57456
03-06-2020,35696.38221,9518.02,36341.376,9690,35123.28358,9365.21,36252.2665,9666.24,46252
02-06-2020,38264.24358,10202.71,38362.8041,10228.99,34751.2064,9266,35696.45722,9518.04,108970
01-06-2020,35434.79181,9448.27,38929.152,10380,35335.03117,9421.67,38256.96781,10200.77,76649
31-05-2020,36370.32909,9697.72,36378.88,9700,35184.04006,9381.41,35434.79181,9448.27,48333
30-05-2020,35353.52064,9426.6,36528.896,9740,34995.84499,9331.23,36370.32909,9697.72,55665
29-05-2020,35913.34285,9575.87,36023.5671,9605.26,34991.232,9330,35355.28333,9427.07,57374
28-05-2020,34518.94413,9204.07,36099.36269,9625.47,34166.144,9110,35913.41786,9575.89,74110
27-05-2020,33157.2864,8841,34597.44,9225,33047.51219,8811.73,34518.94413,9204.07,68910
26-05-2020,33379.87264,8900.35,33819.86957,9017.67,32628.48,8700,33157.96147,8841.18,58299
25-05-2020,32696.51226,8718.14,33677.31686,8979.66,32413.65709,8642.72,33379.87264,8900.35,62833
24-05-2020,34424.9591,9179.01,34871.2192,9298,32628.48,8700,32704.76314,8720.34,70379
23-05-2020,34391.168,9170,34908.16064,9307.85,34016.128,9070,34425.48416,9179.15,43526
22-05-2020,34006.7895,9067.51,34769.9584,9271,33504.27341,8933.52,34391.168,9170,58943
21-05-2020,35671.66707,9511.43,35923.09389,9578.47,33059.776,8815,34011.06496,9068.65,108928
20-05-2020,36660.64755,9775.13,36911.4368,9842,34976.2304,9326,35671.66707,9511.43,74923
19-05-2020,36506.13107,9733.93,37118.49638,9897.21,35531.2896,9474,36662.14771,9775.53,78539
18-05-2020,36308.03494,9681.11,37316.48,9950,35494.64819,9464.23,36506.13107,9733.93,82006
17-05-2020,35181.78982,9380.81,37083.9552,9888,34961.60384,9322.1,36304.02202,9680.04,68647
16-05-2020,34938.57638,9315.96,35958.8352,9588,34578.688,9220,35183.51501,9381.27,59587
15-05-2020,36723.80429,9791.97,36925.01325,9845.62,34316.16,9150,34940.30157,9316.42,115890
14-05-2020,34913.78624,9309.35,37275.2256,9939,34716.5527,9256.76,36723.84179,9791.98,129565
13-05-2020,33044.7369,8810.99,35246.2592,9398,32977.2297,8792.99,34913.86125,9309.37,92466
12-05-2020,32111.07482,8562.04,33672.0663,8978.26,31986.33651,8528.78,33043.98682,8810.79,86522
11-05-2020,32713.87661,8722.77,34383.6672,9168,30753.28,8200,32109.12461,8561.52,168807
10-05-2020,35775.44064,9539.1,35909.44243,9574.83,30441.9968,8117,32713.87661,8722.77,183865
09-05-2020,36753.99501,9800.02,37182.4032,9914.25,35703.808,9520,35776.56576,9539.4,81950
08-05-2020,37452.61952,9986.3,37638.86438,10035.96,36397.632,9705,36753.9575,9800.01,100683
07-05-2020,34291.40736,9143.4,37755.2768,10067,33832.3584,9021,37452.99456,9986.4,147154
